control.1	control.2	control.3	rna1.1	rna1.2	rna1.3	rna2.1	rna2.2	rna2.3	Majority.protein.IDs	Protein.names	Gene.names
43830000	68992000	54875000	63319000	53260000	63934000	68238000	73030000	84196000	P52564;P52564-2	Dual specificity mitogen-activated protein kinase kinase 6	MAP2K6
1.4004e+10	1.329e+10	1.3192e+10	1.7443e+10	1.9276e+10	1.8654e+10	1.6622e+10	1.6674e+10	1.5757e+10	P52565;A8MXW0	Rho GDP-dissociation inhibitor 1	ARHGDIA
536750000	340960000	405570000	68758000	68044000	40668000	109510000	93355000	84316000	P52569;P52569-2;P52569-3	Low affinity cationic amino acid transporter 2	SLC7A2
1.0032e+10	9324300000	7438100000	9433600000	8866900000	1.0418e+10	9151500000	9992600000	1.0202e+10	P52597;B4DKS8	Heterogeneous nuclear ribonucleoprotein F;Heterogeneous nuclear ribonucleoprotein F, N-terminally processed	HNRNPF
2907100000	2795200000	2411400000	3491500000	3502300000	3.767e+09	3342500000	3466100000	3491800000	P52701;F5H769;P52701-2;B4DF41;F5H2F9	DNA mismatch repair protein Msh6	MSH6
1191200000	1.001e+09	1310600000	967960000	948370000	915440000	1208400000	1080600000	1.116e+09	P52732	Kinesin-like protein KIF11	KIF11
1126700000	1024800000	1180400000	1.357e+09	1269500000	1284400000	1009300000	902260000	1104200000	P52735;P52735-3;P52735-2;F8WEQ4	Guanine nucleotide exchange factor VAV2	VAV2
61464000	54194000	64558000	99167000	62938000	58127000	85046000	69988000	87393000	P52739;P52739-2;D6RJH2;D6R9I2	Zinc finger protein 131	ZNF131
339230000	2.25e+08	241240000	205650000	224570000	280810000	238640000	250460000	281600000	P52758;E5RI71;H0YBX3;H0YB34	Ribonuclease UK114	HRSP12
4.009e+09	4625300000	3718800000	3.68e+09	3754900000	3933100000	4352900000	4780600000	4709100000	P52788;P52788-2;B4DE40	Spermine synthase	SMS
3438700000	3642600000	3491900000	2649300000	2769400000	2761200000	3241200000	3192300000	3445400000	P52789;E9PB90	Hexokinase-2	HK2
1715500000	1251400000	954250000	1428300000	1434500000	1365800000	1064300000	1542200000	1768800000	P52790	Hexokinase-3	HK3
3373900000	3028300000	3067700000	2242700000	2524400000	2.656e+09	2768900000	2232800000	2355600000	P52888	Thimet oligopeptidase	THOP1
4.2246e+10	4.949e+10	4.7172e+10	3.8125e+10	3.8021e+10	4.0181e+10	5.0435e+10	4.975e+10	4.7196e+10	P52895;B4DK69	Aldo-keto reductase family 1 member C2	AKR1C2
8224100000	7934800000	7439100000	1.0202e+10	1.2179e+10	1.1746e+10	8348700000	8356600000	8.601e+09	P52907	F-actin-capping protein subunit alpha-1	CAPZA1
4389200000	5135600000	4842100000	6228200000	5570800000	5625400000	5519800000	5437300000	5679200000	P52943;B7Z6C0;H0YFA4	Cysteine-rich protein 2	CRIP2
3148100000	3154800000	3386900000	3766400000	3690900000	3786200000	3288800000	3.722e+09	3403600000	P52948;P52948-5;P52948-2;P52948-6	Nuclear pore complex protein Nup98-Nup96;Nuclear pore complex protein Nup98;Nuclear pore complex protein Nup96	NUP98
1.216e+09	934440000	1.116e+09	916230000	1.082e+09	1174600000	1234100000	1221500000	1298300000	P53004	Biliverdin reductase A	BLVRA
2167600000	2.052e+09	2393400000	1728400000	2058400000	2288800000	1.926e+09	1789500000	1988300000	P53007;B4DP62	Tricarboxylate transport protein, mitochondrial	SLC25A1
3033300000	2763100000	2358400000	3523900000	3588800000	3420800000	2588300000	2467700000	2312200000	P53041;H0YDU8;B4DDZ8;A8MU39	Serine/threonine-protein phosphatase 5;Serine/threonine-protein phosphatase	PPP5C
549040000	442560000	443210000	297440000	390330000	308400000	364580000	332020000	506450000	P53350;B4E083	Serine/threonine-protein kinase PLK1	PLK1
680760000	720290000	576120000	1096700000	966200000	1138300000	1178200000	1052500000	1027100000	P53365;P53365-2	Arfaptin-2	ARFIP2
3167200000	2364600000	3168700000	2.791e+09	2.614e+09	2861700000	2.505e+09	2985300000	2482200000	P53367-2;P53367	Arfaptin-1	ARFIP1
5161700000	5997300000	5485300000	4036500000	4213200000	3714300000	4054600000	4399900000	4310500000	P53582;F5GXS7	Methionine aminopeptidase 1	METAP1
7601900000	7965800000	7.699e+09	7.276e+09	7797100000	7685200000	8224400000	9311900000	8.451e+09	P53597	Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial	SUCLG1
155510000	186450000	133300000	338870000	403890000	460180000	177010000	131710000	162590000	P53602	Diphosphomevalonate decarboxylase	MVD
338630000	243680000	291650000	166860000	128590000	182890000	349730000	324640000	294110000	P53609;P53609-2	Geranylgeranyl transferase type-1 subunit beta	PGGT1B
110230000	98906000	78178000	77944000	99926000	82797000	82954000	75996000	78999000	P53611;Q5T4U8;Q59GT6	Geranylgeranyl transferase type-2 subunit beta	RABGGTB
9177600000	8527100000	7646100000	6907400000	7063400000	7048700000	6612600000	7041100000	7283400000	P53618	Coatomer subunit beta	COPB1
1.325e+10	1.178e+10	1.1371e+10	1.2405e+10	1.1938e+10	1.2522e+10	1.2171e+10	1.2398e+10	1.2625e+10	P53621;P53621-2	Coatomer subunit alpha;Xenin;Proxenin	COPA
715590000	338230000	621160000	416330000	536200000	4.87e+08	358200000	301270000	331970000	P53680;P53680-2	AP-2 complex subunit sigma	AP2S1
883230000	1084400000	1257200000	833960000	938150000	955210000	1161400000	1.048e+09	893340000	P53701	Cytochrome c-type heme lyase	HCCS
5800500000	9797700000	8340900000	7455100000	8.372e+09	6797200000	6732900000	7.209e+09	7.621e+09	P53985;Q5T8R3;Q5T8R5;Q49A45	Monocarboxylate transporter 1	SLC16A1
1529200000	1301400000	1066500000	1202800000	1004200000	1062800000	1174500000	1339200000	1266600000	P53990;P53990-2;P53990-4;F5H6Z7;P53990-3;A8KAH5;F5GXM3	IST1 homolog	IST1
8048100000	8599100000	9.247e+09	9634700000	9.35e+09	1.0317e+10	9.169e+09	9433900000	9348500000	P53999;F5H1H8	Activated RNA polymerase II transcriptional coactivator p15	SUB1
1.0151e+10	1.0911e+10	9304100000	6916600000	5147400000	6509300000	1.0616e+10	4947200000	9570400000	P54132;F5H7R6;H0YNU5;F5H3V6	Bloom syndrome protein	BLM
1.7508e+10	1.8054e+10	1.7061e+10	1.6916e+10	1.7854e+10	1.7782e+10	1.7925e+10	1.8887e+10	1.7864e+10	P54136;P54136-2;F5H3T8	Arginine--tRNA ligase, cytoplasmic	RARS
3.13e+08	306320000	275470000	176180000	202680000	167460000	269930000	166920000	280500000	P54277;Q5FBZ3;B7ZAA0;E9PC65;Q5FBZ8;Q3BDU3;Q5FBZ6;E9PH88;E7EQE2	PMS1 protein homolog 1	PMS1
2.2436e+10	2.3496e+10	2.4385e+10	2.6038e+10	2.835e+10	2.5906e+10	2.7444e+10	2.7929e+10	2.801e+10	P54577	Tyrosine--tRNA ligase, cytoplasmic;Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed	YARS
6816500000	7679700000	6647600000	6772200000	7727100000	7249800000	8091300000	8603300000	8867300000	P54578;A6NJA2;B7Z4N8	Ubiquitin carboxyl-terminal hydrolase 14;Ubiquitin carboxyl-terminal hydrolase	USP14
60765000	49458000	37690000	72928000	94603000	84713000	54223000	49931000	47837000	P54652;B3KUS2	Heat shock-related 70 kDa protein 2	HSPA2
2331900000	1668200000	1866400000	1352500000	1357300000	1.424e+09	1177900000	980610000	1055200000	P54709;B7Z1N7;C9JA36;C9JXZ1	Sodium/potassium-transporting ATPase subunit beta-3	ATP1B3
3702300000	3563400000	3687100000	4149500000	3646700000	4.048e+09	3364300000	3273500000	3569800000	P54725	UV excision repair protein RAD23 homolog A	RAD23A
2.694e+09	3203600000	3287600000	3573700000	4087900000	3.485e+09	3640200000	4836700000	4020800000	P54727;Q5W0S5	UV excision repair protein RAD23 homolog B	RAD23B
1.2124e+10	1.0602e+10	1.0732e+10	1.1721e+10	1.2348e+10	1.1848e+10	1.0125e+10	8512600000	9797500000	P54886;P54886-2	Delta-1-pyrroline-5-carboxylate synthase;Glutamate 5-kinase;Gamma-glutamyl phosphate reductase	ALDH18A1
2699300000	3239600000	3114900000	3.903e+09	3885800000	4157300000	4094700000	4608800000	4260400000	P54920	Alpha-soluble NSF attachment protein	NAPA
6206900000	5.269e+09	6486500000	6828700000	6167600000	6463400000	7147900000	7327400000	7599700000	P55010;H0YLZ1;H0YN40	Eukaryotic translation initiation factor 5	EIF5
1.153e+09	1229700000	1137700000	646480000	553070000	565730000	605230000	711880000	660730000	P55011;P55011-3;G3XAL9	Solute carrier family 12 member 2	SLC12A2
1.901e+09	2059600000	1649200000	1850600000	2077300000	1831600000	2057300000	2288700000	2004300000	P55036;Q5VWC4;P55036-2;A6PVX3	26S proteasome non-ATPase regulatory subunit 4	PSMD4
2439900000	1943500000	1917100000	2047700000	2025600000	1871200000	1811300000	1934800000	1.966e+09	P55039;A8MZF9	Developmentally-regulated GTP-binding protein 2	DRG2
2.2637e+10	2.1828e+10	2.138e+10	1.9206e+10	2.0487e+10	2.0056e+10	2.5497e+10	2.4893e+10	2.455e+10	P55060;P55060-3;F8W904;B4DUC5;E7ENK9;B4DM67;F5GX54	Exportin-2	CSE1L
4.4061e+10	4.3528e+10	4.48e+10	4.3751e+10	4.4737e+10	4.7318e+10	5.0449e+10	5.4209e+10	4.8857e+10	P55072	Transitional endoplasmic reticulum ATPase	VCP
2505700000	3552100000	3252900000	2677800000	3062800000	3.264e+09	3.317e+09	3798100000	3594400000	P55081	Microfibrillar-associated protein 1	MFAP1
1654900000	1160700000	1353300000	549150000	549490000	597080000	345140000	339540000	490120000	P55145	Mesencephalic astrocyte-derived neurotrophic factor	MANF
103620000	80897000	106390000	88686000	136750000	110250000	171550000	70679000	162570000	P55199	RNA polymerase II elongation factor ELL	ELL
222430000	215770000	221790000	211230000	225060000	189430000	247070000	156370000	193340000	P55201;P55201-4;P55201-3;P55201-2	Peregrin	BRPF1
370930000	386510000	366580000	255470000	290150000	258220000	567890000	566950000	563860000	P55210;P55210-3;B4DUB5;Q5SVL2	Caspase-7;Caspase-7 subunit p20;Caspase-7 subunit p11	CASP7
123190000	1.2e+08	144180000	56184000	60258000	49805000	108510000	125470000	1.13e+08	P55212;P55212-2	Caspase-6;Caspase-6 subunit p18;Caspase-6 subunit p11	CASP6
3710200000	3741100000	3541700000	4069800000	4331200000	4.223e+09	3975200000	3852600000	4119800000	P55263;B7Z783	Adenosine kinase	ADK
203630000	310810000	286420000	833120000	523130000	539560000	404980000	502620000	622250000	P55263-2;B7Z800	Adenosine kinase	ADK
157450000	107290000	40430000	71661000	57739000	62390000	31477000	49636000	106850000	P55268;E7EMH6	Laminin subunit beta-2	LAMB2
3295800000	2997900000	3161800000	4139900000	4096800000	4151800000	4348100000	3841900000	4.359e+09	P55735;E9PHR5;A8MV37;A8MXL6	Protein SEC13 homolog	SEC13
7870900000	6894300000	7295600000	6.129e+09	5212100000	4.652e+09	5534600000	9001600000	8145900000	P55769;B1AHD1	NHP2-like protein 1;NHP2-like protein 1, N-terminally processed	NHP2L1
963370000	1186500000	957040000	1158300000	1361100000	1536600000	1329800000	925520000	1018400000	P55795;B4DFK9	Heterogeneous nuclear ribonucleoprotein H2;Heterogeneous nuclear ribonucleoprotein H2, N-terminally processed	HNRNPH2
1.2671e+10	1.7691e+10	1.6259e+10	2.925e+10	2.8529e+10	2.6613e+10	2.2797e+10	2.3691e+10	2.3497e+10	P55809	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial	OXCT1
229540000	457980000	382720000	262190000	321580000	272130000	359880000	303460000	255990000	P55957;P55957-2	BH3-interacting domain death agonist;BH3-interacting domain death agonist p15;BH3-interacting domain death agonist p13;BH3-interacting domain death agonist p11	BID
94077000	94889000	129610000	100130000	107960000	76422000	81991000	118630000	95082000	P56181	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial	NDUFV3
595440000	686510000	677640000	166120000	191240000	112410000	518940000	668450000	528640000	P56181-2	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial	NDUFV3
1284200000	898310000	1126300000	1141500000	1066800000	1.347e+09	1294200000	1086300000	1162400000	P56182;F8W984	Ribosomal RNA processing protein 1 homolog A	RRP1
3304600000	4.249e+09	3529100000	4376400000	4337500000	4933300000	4437900000	4.192e+09	4843200000	P56192;A6NC17;B3KVK7	Methionine--tRNA ligase, cytoplasmic	MARS
319600000	343990000	313360000	467200000	395850000	400160000	397830000	363960000	417270000	P56199	Integrin alpha-1	ITGA1
2088800000	2188500000	2060500000	1958200000	2233900000	2407200000	1836600000	1949900000	2.255e+09	P56385	ATP synthase subunit e, mitochondrial	ATP5I
1346800000	1610300000	1472800000	1445700000	1159400000	1273300000	2029900000	2044600000	2138600000	P56537;B7ZBG9	Eukaryotic translation initiation factor 6	EIF6
483780000	411660000	356550000	465560000	477750000	548810000	422770000	351850000	348580000	P56545;P56545-2;Q5SQP8	C-terminal-binding protein 2	CTBP2
5479700000	4865600000	5820100000	4985300000	5311900000	4399200000	4905900000	5630200000	4320300000	P56556	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6	NDUFA6
635430000	444380000	735300000	561230000	774470000	532380000	514330000	6.31e+08	430860000	P56589;Q7Z6V3	Peroxisomal biogenesis factor 3	PEX3
414250000	425330000	440120000	441660000	496600000	447060000	477360000	400710000	536880000	P56962;E9PIC2	Syntaxin-17	STX17
22214000	20295000	38492000	28630000	28475000	24836000	20545000	29701000	30539000	P57059	Serine/threonine-protein kinase SIK1	SIK1
1137200000	866640000	989010000	737270000	880880000	688040000	829490000	897660000	978900000	P57076;D3DSE6;C9J818;F8VZ95;C9JX57	UPF0769 protein C21orf59	C21orf59
253780000	1.73e+08	221700000	93219000	113710000	65904000	238090000	98513000	233360000	P57081;P57081-3;P57081-2	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4	WDR4
1016300000	1006100000	923950000	922400000	851530000	916370000	788410000	731360000	850210000	P57678	Gem-associated protein 4	GEMIN4
67734000	54264000	56615000	89168000	72001000	75425000	52399000	56105000	58658000	P57737;P57737-2;B3KSY4	Coronin-7;Coronin	CORO7;hCG_1787779
3284700000	3064300000	2721600000	2715400000	2847400000	3011200000	2437700000	2921600000	2441900000	P57740;B4DZ67;Q6PJE1	Nuclear pore complex protein Nup107	NUP107
1053200000	1033100000	773160000	861570000	1206600000	898330000	1034500000	945200000	960380000	P57772	Selenocysteine-specific elongation factor	EEFSEC
1.5231e+10	1.5482e+10	1.5746e+10	1.5236e+10	1.6509e+10	1.6825e+10	1.5881e+10	1.53e+10	1.4963e+10	P58107	Epiplakin	EPPK1
617960000	740760000	438740000	970620000	737920000	693300000	711460000	977300000	848650000	P58511	Small integral membrane protein 11	SMIM11
8686400000	7590800000	8946800000	7382700000	8967700000	7256200000	7800100000	7113900000	8119100000	P58546	Myotrophin	MTPN
234860000	198520000	236460000	190290000	213950000	156550000	166930000	184040000	205980000	P58557;P58557-2;P58557-4;P58557-3	Putative ribonuclease	YBEY
495030000	774590000	426740000	132550000	170050000	204510000	57600000	121080000	148730000	P60059	Protein transport protein Sec61 subunit gamma	SEC61G
6.7275e+10	8.3569e+10	7.304e+10	8.618e+10	8.1908e+10	8.5828e+10	7.1055e+10	8.0606e+10	7.9151e+10	P60174;P60174-1;B7Z5D8	Triosephosphate isomerase	TPI1
5812800000	5010400000	5638300000	5280400000	5875200000	6.223e+09	6376300000	5912800000	6.463e+09	P60228;E5RGA2;H0YBR5	Eukaryotic translation initiation factor 3 subunit E	EIF3E
655550000	616480000	997400000	1.65e+08	201740000	165280000	198920000	172290000	220540000	P60468	Protein transport protein Sec61 subunit beta	SEC61B
271230000	220900000	210610000	463750000	407790000	374550000	295070000	231040000	291360000	P60484	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	PTEN
30428000	281040000	344460000	499990000	421420000	477920000	323710000	310630000	219860000	P60510	Serine/threonine-protein phosphatase 4 catalytic subunit	PPP4C
378500000	349800000	423340000	985280000	949740000	753630000	471490000	400380000	378900000	P60520	Gamma-aminobutyric acid receptor-associated protein-like 2	GABARAPL2
279290000	348070000	238970000	239620000	194450000	209750000	319410000	163050000	123770000	P60602;P60602-2	Reactive oxygen species modulator 1	ROMO1
533590000	514700000	412560000	602570000	1137800000	1000400000	1.209e+09	919750000	998300000	P60604;F8WCB9;F8WDB1;A6NMQ7	Ubiquitin-conjugating enzyme E2 G2	UBE2G2
1.965e+10	1.8442e+10	1.884e+10	2.1975e+10	2.1293e+10	2.325e+10	2.0904e+10	2.4268e+10	2.543e+10	P60660-2;G8JLA2;F8VZU9;F8W180	Myosin light polypeptide 6	MYL6;PDE6H
47818000	359960000	828790000	1202600000	2780600000	2975500000	3453900000	2303700000	3799200000	P60709;B4E335;B4DW52	Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed	ACTB
308490000	230150000	230650000	293200000	331070000	264730000	159870000	133380000	155810000	P60763	Ras-related C3 botulinum toxin substrate 3	RAC3
2.3332e+10	2.3897e+10	2.2004e+10	2.1607e+10	2.2159e+10	2.567e+10	2.5092e+10	2.4983e+10	2.8309e+10	P60842	Eukaryotic initiation factor 4A-I	EIF4A1
41967000	45861000	50337000	78665000	78987000	110370000	70829000	66298000	65224000	P60880;P60880-2	Synaptosomal-associated protein 25	SNAP25
9710400000	1.0496e+10	8122500000	9243100000	9598300000	9474900000	9665100000	9955900000	1.0611e+10	P60891;B4DNL6;B1ALA9	Ribose-phosphate pyrophosphokinase 1	PRPS1
6349400000	8942100000	7255700000	1.0179e+10	8529900000	7182100000	8021900000	8796600000	1.0104e+10	P60903	Protein S100-A10	S100A10
3906800000	5671100000	4797700000	6073600000	5788800000	6.026e+09	4718900000	5391400000	5875200000	P60953;E7ETU3;Q5JYX0	Cell division control protein 42 homolog	CDC42
1.2439e+10	1.4631e+10	1.4523e+10	1.7764e+10	1.6655e+10	1.8161e+10	1.7258e+10	1.9092e+10	1.838e+10	P60981;B4DYA6;F6RFD5	Destrin	DSTN
547920000	659500000	782950000	976530000	1230900000	894480000	786170000	708100000	685170000	P61006	Ras-related protein Rab-8A	RAB8A
1203400000	964040000	1744800000	672800000	795570000	612280000	552980000	491780000	483580000	P61009	Signal peptidase complex subunit 3	SPCS3
2548400000	2169700000	2520300000	2.777e+09	2.835e+09	2703700000	2903400000	3060400000	2779200000	P61011;B4DUW6;G3V4F7	Signal recognition particle 54 kDa protein	SRP54
1995800000	1674200000	1507600000	1878400000	1619700000	1507300000	1560500000	1672800000	1837400000	P61019;B4DMQ5;F5H399	Ras-related protein Rab-2A	RAB2A
98506000	48869000	65609000	84232000	87434000	64619000	71411000	70274000	77139000	P61020;B4DKD7	Ras-related protein Rab-5B	RAB5B
353940000	391790000	626520000	390870000	385650000	329070000	463130000	486600000	477590000	P61024;Q5T179;Q9BZU3	Cyclin-dependent kinases regulatory subunit 1;Cyclin-dependent kinases regulatory subunit	CKS1B
6539600000	5789500000	5381500000	6.462e+09	5929800000	6763700000	7182200000	7570200000	7044200000	P61026	Ras-related protein Rab-10	RAB10
432510000	505390000	651040000	381180000	445990000	235090000	255330000	268350000	208670000	P61073;P61073-2	C-X-C chemokine receptor type 4	CXCR4
1582300000	1.502e+09	1.325e+09	1518600000	1480500000	1474500000	1239300000	1554900000	1585900000	P61081	NEDD8-conjugating enzyme Ubc12	UBE2M
1128400000	1784600000	1755400000	1700300000	1420700000	1682200000	1669400000	2108500000	2022300000	P61086;B4DIZ2;P61086-2;D6RDM7;C9JGP1	Ubiquitin-conjugating enzyme E2 K	UBE2K
5586500000	6545500000	5701700000	6.974e+09	6216700000	5834300000	5347500000	5908400000	5652100000	P61088;F8VSD4;F8VV71;F8VQQ8;Q5JXB2	Ubiquitin-conjugating enzyme E2 N;Putative ubiquitin-conjugating enzyme E2 N-like	UBE2N;UBE2NL
4144700000	5061800000	3.827e+09	5314500000	5367200000	5011400000	4612700000	5404500000	4502300000	P61106	Ras-related protein Rab-14	RAB14
6688200000	6543900000	6649700000	5603500000	5912700000	5781600000	6307800000	6.014e+09	5829200000	P61158;B4DXW1;F5H3P5;B4DTI0	Actin-related protein 3	ACTR3
5.523e+09	5534800000	5889700000	5.337e+09	6472400000	5476300000	6765700000	5819600000	5799500000	P61160;E9PF41;G3V1L8;F5H6T1	Actin-related protein 2	ACTR2
5104400000	5881100000	4968700000	6949300000	7275900000	7529800000	4.966e+09	5098100000	5182600000	P61163;B4DXP9;F5H3I4	Alpha-centractin	ACTR1A
9058400000	7246400000	7340300000	7191800000	6961900000	7207300000	7527200000	7301700000	7021500000	P61201;P61201-2;B4DIH5;H0YKU5	COP9 signalosome complex subunit 2	COPS2
6646200000	5380800000	6332800000	6171600000	6832600000	6112200000	5517100000	7041600000	7036100000	P61221;D6R9I9	ATP-binding cassette sub-family E member 1	ABCE1
387880000	253100000	249140000	205090000	232070000	212320000	316830000	353670000	344160000	P61225	Ras-related protein Rap-2b	RAP2B
619140000	370590000	422780000	285160000	311080000	223990000	458990000	4.11e+08	359560000	P61244;P61244-2;G3V5L1;Q6V3B1;G3V563;G3V2R5;E7ESS7;P61244-3;Q14803	Protein max	MAX
4.3129e+10	3.9377e+10	4.2175e+10	3.92e+10	3.5074e+10	3.2143e+10	3.7751e+10	3.829e+10	3.9664e+10	P61247;F5H4F9;E9PFI5;D6RG13;H0Y8L7;H0Y9Y4;D6RAT0;D6RB09;D6R9B6	40S ribosomal protein S3a	RPS3A
4.3501e+10	4.031e+10	3.9558e+10	4.0011e+10	3.7822e+10	3.6633e+10	3.8241e+10	3.5361e+10	3.892e+10	P61254	60S ribosomal protein L26	RPL26
8345200000	9185800000	8105900000	7769800000	7583700000	7945600000	9810600000	9604300000	1.0216e+10	P61289;P61289-2;B7Z8D3	Proteasome activator complex subunit 3	PSME3
2.1632e+10	2.2993e+10	2.8737e+10	2.0936e+10	2.1553e+10	2.0841e+10	2.2469e+10	1.9684e+10	1.9417e+10	P61313;E7EQV9;E7ENU7;E7EX53;Q642I1	60S ribosomal protein L15;Ribosomal protein L15	RPL15
27606000	24855000	27848000	20903000	30361000	21662000	17983000	30633000	30319000	P61326;B1ARP8	Protein mago nashi homolog	MAGOH
2.6665e+10	2.2329e+10	2.125e+10	2.3551e+10	2.2478e+10	2.6357e+10	2.3575e+10	1.9013e+10	1.9041e+10	P61353	60S ribosomal protein L27	RPL27
503540000	598800000	584580000	779280000	759100000	657480000	658780000	706550000	885880000	P61457	Pterin-4-alpha-carbinolamine dehydratase	PCBD1
1.1943e+10	1.1753e+10	1.3205e+10	1.0516e+10	1.1713e+10	1.1355e+10	1.2034e+10	9574400000	1.124e+10	P61513;E9PEL3;G5E9R3;C9J4Z3	60S ribosomal protein L37a	RPL37A
1.1596e+10	1.4826e+10	1.3881e+10	1.6526e+10	1.5383e+10	1.7864e+10	1.5017e+10	1.2582e+10	1.5277e+10	P61586;C9JX21;C9JNR4	Transforming protein RhoA	RHOA
64116000	58892000	100660000	66403000	51063000	67120000	48230000	68462000	80584000	P61587;E9PFH1;Q53RZ3	Rho-related GTP-binding protein RhoE	RND3;ARHE
4.977e+10	4.2716e+10	5.1323e+10	6.2166e+10	6.2234e+10	5.1967e+10	4.9818e+10	6.5247e+10	6.3045e+10	P61604;B8ZZL8	10 kDa heat shock protein, mitochondrial	HSPE1
2201200000	2672100000	2.635e+09	2577900000	2605200000	2458300000	2637400000	2596400000	2816800000	P61758;F5H2A7	Prefoldin subunit 3	VBP1
1.873e+09	1934400000	2552500000	3100800000	3646200000	3127400000	3603300000	3386800000	4.259e+09	P61764;P61764-2;F5H5Q4;B7Z1V5;B7Z3F4	Syntaxin-binding protein 1	STXBP1
1.1005e+10	1.4281e+10	1.7198e+10	7216300000	7806600000	5843200000	7781900000	7915600000	7050900000	P61769;F5H6I0;H0YLF3	Beta-2-microglobulin;Beta-2-microglobulin form pI 5.3	B2M
1064400000	1370700000	1504100000	1546100000	2210800000	883170000	769220000	960190000	687720000	P61927	60S ribosomal protein L37	RPL37
85156000	210800000	48898000	69749000	69568000	100060000	98361000	43626000	45464000	P61952	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11	GNG11
2583700000	2725600000	3313500000	2943300000	2948500000	2384600000	2983700000	2663900000	2.765e+09	P61956;P61956-2	Small ubiquitin-related modifier 2	SUMO2
1408300000	1844400000	1424200000	2476500000	2489600000	3015300000	1965900000	1966300000	1995100000	P61960;P61960-2;H0Y614	Ubiquitin-fold modifier 1	UFM1
1810500000	1528500000	2008400000	1556100000	1.691e+09	1908700000	1885400000	1792800000	2075300000	P61964	WD repeat-containing protein 5	WDR5
147590000	123130000	116190000	116270000	144060000	139210000	105830000	115020000	121190000	P61966;P61966-2	AP-1 complex subunit sigma-1A	AP1S1
2387600000	2774200000	2961500000	3103800000	4180200000	3331900000	2911700000	2.793e+09	2838100000	P61970	Nuclear transport factor 2	NUTF2
4.7345e+10	5.6174e+10	4.6157e+10	4.656e+10	4.5992e+10	4.7867e+10	4.7646e+10	4.9503e+10	4.6328e+10	P61978;P61978-2;B4DFF1;Q5T6W1	Heterogeneous nuclear ribonucleoprotein K	HNRNPK
1262900000	897580000	1200900000	1385600000	1291800000	1303200000	1122600000	799250000	999370000	P61978-3;Q5T6W5;Q5T6W2	Heterogeneous nuclear ribonucleoprotein K	HNRNPK
1.2284e+10	1.2986e+10	1.3949e+10	9611400000	9.655e+09	9905300000	1.5618e+10	1.7464e+10	1.5557e+10	P61981;B4DE78;B4DHC4	14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed	YWHAG
1063400000	1090100000	768110000	1030800000	609370000	800330000	708180000	850870000	863890000	P62072	Mitochondrial import inner membrane translocase subunit Tim10	TIMM10
3.5981e+10	4.0884e+10	3.7588e+10	4.3454e+10	3.9881e+10	3.6059e+10	3.4674e+10	4.1613e+10	4.0991e+10	P62081;B5MCP9	40S ribosomal protein S7	RPS7
1067700000	1038800000	939690000	1168800000	1210100000	1177200000	1295700000	1181700000	1247800000	P62136;Q07161;E9PDP1;A6NNR3;E9PMD7	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit;Serine/threonine-protein phosphatase	PPP1CA
5945800000	7545600000	7198800000	7740100000	7450800000	8830900000	9103400000	8483700000	8574200000	P62140	Serine/threonine-protein phosphatase PP1-beta catalytic subunit	PPP1CB
300630000	534660000	662710000	537580000	607530000	464720000	437850000	531030000	455110000	P62166;E9PAY3	Neuronal calcium sensor 1	NCS1
1.0352e+10	8314700000	9095400000	9127700000	9787400000	9748100000	8.856e+09	9.232e+09	9766400000	P62191;B4DR63	26S protease regulatory subunit 4	PSMC1
2.4768e+10	3.2594e+10	2.5724e+10	3.1069e+10	2.9167e+10	3.4561e+10	2.842e+10	3.1734e+10	2.8556e+10	P62241;Q5JR95	40S ribosomal protein S8	RPS8
1.8028e+10	1.5952e+10	1.5267e+10	1.5501e+10	1.5009e+10	1.5086e+10	1.6835e+10	1.6122e+10	1.5594e+10	P62244	40S ribosomal protein S15a	RPS15A
4.7141e+10	4.5871e+10	4.3867e+10	3.8246e+10	3.7298e+10	3.4253e+10	4.0132e+10	4.4172e+10	3.6795e+10	P62249	40S ribosomal protein S16	RPS16
1433400000	1.512e+09	1637900000	1548600000	2.048e+09	1731900000	1991100000	1.534e+09	1764900000	P62253	Ubiquitin-conjugating enzyme E2 G1;Ubiquitin-conjugating enzyme E2 G1, N-terminally processed	UBE2G1
1471700000	1.649e+09	1580800000	652740000	651910000	686600000	1.788e+09	1790600000	1972300000	P62256;C9JZY6;A4D1L6;C9JZG9;C9J8Q9	Ubiquitin-conjugating enzyme E2 H	UBE2H
