Entry	Entry name	Status	Protein names	Gene names	Organism	Length
A0A1L1RT67	A0A1L1RT67_CHICK	unreviewed	60S ribosomal protein L36	RPL36	Gallus gallus (Chicken)	99
A0A1L1RQL6	A0A1L1RQL6_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	323
A0A1L1RZM4	A0A1L1RZM4_CHICK	unreviewed	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone	SUGT1	Gallus gallus (Chicken)	210
T1W3H0	T1W3H0_CHICK	unreviewed	MHC class I antigen (Fragment)	BF	Gallus gallus (Chicken)	90
Q2MHD5	Q2MHD5_CHICK	unreviewed	Cytoplasmic dynein (Fragment)		Gallus gallus (Chicken)	63
F1NZZ4	F1NZZ4_CHICK	unreviewed	SLAIN motif family member 2	SLAIN2	Gallus gallus (Chicken)	571
E1BWW3	E1BWW3_CHICK	unreviewed	Structural maintenance of chromosomes 6	SMC6	Gallus gallus (Chicken)	1096
F1NNQ6	F1NNQ6_CHICK	unreviewed	B-box and SPRY domain containing		Gallus gallus (Chicken)	302
F1P1T5	F1P1T5_CHICK	unreviewed	Origin recognition complex subunit 3	ORC3	Gallus gallus (Chicken)	713
R4GFG9	R4GFG9_CHICK	unreviewed	Uncharacterized protein	LOC426355	Gallus gallus (Chicken)	682
A0A1D5P550	A0A1D5P550_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	239
A0A1D5PNC3	A0A1D5PNC3_CHICK	unreviewed	Uncharacterized protein	SLC38A7	Gallus gallus (Chicken)	462
A0A1D5NX28	A0A1D5NX28_CHICK	unreviewed	Uncharacterized protein	LOC107056785	Gallus gallus (Chicken)	233
A0A1D5NYY5	A0A1D5NYY5_CHICK	unreviewed	Pentatricopeptide repeat domain 3	PTCD3	Gallus gallus (Chicken)	296
A0A1D5PBE5	A0A1D5PBE5_CHICK	unreviewed	TBC1 domain family member 13	TBC1D13	Gallus gallus (Chicken)	387
A0A1D5PF42	A0A1D5PF42_CHICK	unreviewed	Zinc finger protein 827	ZNF827	Gallus gallus (Chicken)	825
A0A1D5PPG6	A0A1D5PPG6_CHICK	unreviewed	Eukaryotic translation initiation factor 2B subunit beta	EIF2B2	Gallus gallus (Chicken)	303
A0A1D5PWT9	A0A1D5PWT9_CHICK	unreviewed	Uncharacterized protein	ZNF521	Gallus gallus (Chicken)	1352
E1BSL5	E1BSL5_CHICK	unreviewed	Oxidative stress responsive serine rich 1	OSER1	Gallus gallus (Chicken)	294
E1BWB7	E1BWB7_CHICK	unreviewed	HCLS1 binding protein 3	HS1BP3	Gallus gallus (Chicken)	381
Q4JM73	Q4JM73_CHICK	unreviewed	MHC class I antigen (Fragment)	B-FI	Gallus gallus (Chicken)	59
F1NW39	F1NW39_CHICK	unreviewed	Acyl-CoA thioesterase 13	ACOT13	Gallus gallus (Chicken)	143
F1CN46	F1CN46_CHICK	unreviewed	MHC class I antigen		Gallus gallus (Chicken)	344
F1NRQ6	F1NRQ6_CHICK	unreviewed	Uncharacterized protein	GK	Gallus gallus (Chicken)	526
A0A1D5PN96	A0A1D5PN96_CHICK	unreviewed	Uncharacterized protein	FAM13B	Gallus gallus (Chicken)	632
A0A1D5PUG5	A0A1D5PUG5_CHICK	unreviewed	Chromosome 16 open reading frame 62	C14H16ORF62	Gallus gallus (Chicken)	943
A0A1D5PUH1	A0A1D5PUH1_CHICK	unreviewed	Nuclear receptor subfamily 5 group A member 2	NR5A2	Gallus gallus (Chicken)	495
A0A1D5P9R4	A0A1D5P9R4_CHICK	unreviewed	Transcriptional regulator Erg	ERG	Gallus gallus (Chicken)	476
A0A1D5PVM2	A0A1D5PVM2_CHICK	unreviewed	Protein Wnt	WNT3	Gallus gallus (Chicken)	346
A0A088BHQ4	A0A088BHQ4_CHICK	unreviewed	Epidermal differentiation protein	EDCH5	Gallus gallus (Chicken)	198
A0A1L1RVN7	A0A1L1RVN7_CHICK	unreviewed	Chromosome 12 open reading frame 50	C12ORF50	Gallus gallus (Chicken)	410
Q537V4	Q537V4_CHICK	unreviewed	Telomerase reverse transcriptase	TERT	Gallus gallus (Chicken)	1346
Q5ZJV8	Q5ZJV8_CHICK	unreviewed	Uncharacterized protein	RCJMB04_15f15	Gallus gallus (Chicken)	479
R4GFI8	R4GFI8_CHICK	unreviewed	Uncharacterized protein	CELA3L	Gallus gallus (Chicken)	269
R4GLS6	R4GLS6_CHICK	unreviewed	Activating transcription factor 3	ATF3	Gallus gallus (Chicken)	181
A0A1L1RXC1	A0A1L1RXC1_CHICK	unreviewed	X-prolyl aminopeptidase 1	XPNPEP1	Gallus gallus (Chicken)	139
A0A1L1RZX3	A0A1L1RZX3_CHICK	unreviewed	Fanconi anemia, complementation group A	FANCA	Gallus gallus (Chicken)	239
Q90886	Q90886_CHICK	unreviewed	Mannose 6-Phosphate Receptor/IGF2 Receptor (Fragment)		Gallus gallus (Chicken)	485
Q90ZH3	Q90ZH3_CHICK	unreviewed	Octamer-binding protein (Fragment)	chOCT-1	Gallus gallus (Chicken)	53
E1BSK2	E1BSK2_CHICK	unreviewed	VPS18, CORVET/HOPS core subunit	VPS18	Gallus gallus (Chicken)	974
A0A1D5NY29	A0A1D5NY29_CHICK	unreviewed	Protein kinase N2	PKN2	Gallus gallus (Chicken)	785
A0A1D5PTX2	A0A1D5PTX2_CHICK	unreviewed	Glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1	QRSL1	Gallus gallus (Chicken)	298
A0A1D5NUC3	A0A1D5NUC3_CHICK	unreviewed	Uncharacterized protein	ZNF532	Gallus gallus (Chicken)	1124
A0A1D5NUU4	A0A1D5NUU4_CHICK	unreviewed	Spen family transcriptional repressor	SPEN	Gallus gallus (Chicken)	3545
A0A1D5PLW3	A0A1D5PLW3_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	161
F1NNL4	F1NNL4_CHICK	unreviewed	Janus kinase and microtubule interacting protein 3		Gallus gallus (Chicken)	486
A0A1D5NVG1	A0A1D5NVG1_CHICK	unreviewed	Histone deacetylase (EC 3.5.1.98)	HDAC2	Gallus gallus (Chicken)	424
A0A1D5P6C4	A0A1D5P6C4_CHICK	unreviewed	NLR family CARD domain containing 5	NLRC5	Gallus gallus (Chicken)	1834
A0A1D5PCT9	A0A1D5PCT9_CHICK	unreviewed	F-box and leucine rich repeat protein 2	FBXL2	Gallus gallus (Chicken)	426
A0A1D5PFY1	A0A1D5PFY1_CHICK	unreviewed	Uncharacterized protein	FAM13B	Gallus gallus (Chicken)	913
A0A1D5PLT4	A0A1D5PLT4_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	156
A0A1D5PNY8	A0A1D5PNY8_CHICK	unreviewed	Mothers against decapentaplegic homolog (MAD homolog) (Mothers against DPP homolog) (SMAD family member)	SMAD7	Gallus gallus (Chicken)	388
A0A1D5Q028	A0A1D5Q028_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	679
F1P341	F1P341_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	568
F1P0K0	F1P0K0_CHICK	unreviewed	M-phase phosphoprotein 8		Gallus gallus (Chicken)	420
F1P0M1	F1P0M1_CHICK	unreviewed	Guanylate cyclase 1 soluble subunit beta		Gallus gallus (Chicken)	671
Q5ZLM4	Q5ZLM4_CHICK	unreviewed	Uncharacterized protein	RCJMB04_5i4	Gallus gallus (Chicken)	385
R4GHU8	R4GHU8_CHICK	unreviewed	MOB kinase activator 3C	MOBKL2C	Gallus gallus (Chicken)	214
R4GLZ1	R4GLZ1_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	207
E1C6Q9	E1C6Q9_CHICK	unreviewed	Uncharacterized protein	KRT10	Gallus gallus (Chicken)	604
A0A1L1RPG0	A0A1L1RPG0_CHICK	unreviewed	Heat shock cognate 71 kDa protein	HSPA8	Gallus gallus (Chicken)	525
A0A1D5NYZ1	A0A1D5NYZ1_CHICK	unreviewed	Troponin T1, slow skeletal type		Gallus gallus (Chicken)	191
A0A1D5P6I7	A0A1D5P6I7_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	79
A0A1D5P960	A0A1D5P960_CHICK	unreviewed	Tetraspanin	TSPAN18	Gallus gallus (Chicken)	247
A0A1D5PN53	A0A1D5PN53_CHICK	unreviewed	Sorting nexin 3	SNX3	Gallus gallus (Chicken)	113
Q6EC05	Q6EC05_CHICK	unreviewed	MHC class I antigen (Fragment)	B-F	Gallus gallus (Chicken)	53
Q90818	Q90818_CHICK	unreviewed	Protein-tyrosine phosphatase (Fragment)	CRYPalpha4	Gallus gallus (Chicken)	64
Q90947	Q90947_CHICK	unreviewed	Phosphotyrosyl phosphatase		Gallus gallus (Chicken)	832
F1P145	F1P145_CHICK	unreviewed	Ubiquitin-like protein ATG12	ATG12	Gallus gallus (Chicken)	146
E1C947	E1C947_CHICK	unreviewed	Golgin A5	GOLGA5	Gallus gallus (Chicken)	735
A0A1D5PSW5	A0A1D5PSW5_CHICK	unreviewed	MON2 homolog, regulator of endosome-to-Golgi trafficking	MON2	Gallus gallus (Chicken)	1715
A0A1D5P8A0	A0A1D5P8A0_CHICK	unreviewed	ADP-sugar pyrophosphatase	NUDT5	Gallus gallus (Chicken)	191
A0A1D5PJY2	A0A1D5PJY2_CHICK	unreviewed	Transmembrane and tetratricopeptide repeat containing 2	TMTC2	Gallus gallus (Chicken)	825
A0A1D5PWR9	A0A1D5PWR9_CHICK	unreviewed	Exportin-7	XPO7	Gallus gallus (Chicken)	1096
F1CN31	F1CN31_CHICK	unreviewed	MHC class I antigen		Gallus gallus (Chicken)	355
F1NHU1	F1NHU1_CHICK	unreviewed	Glutamate receptor interacting protein 1	GRIP1	Gallus gallus (Chicken)	1129
F1NTK0	F1NTK0_CHICK	unreviewed	GRB2 associated regulator of MAPK1 subtype 1	GAREM1	Gallus gallus (Chicken)	883
Q6QIF5	Q6QIF5_CHICK	unreviewed	Beta B2-crystallin short isoform		Gallus gallus (Chicken)	205
R4GGP3	R4GGP3_CHICK	unreviewed	Transcription factor Dp-2	TFDP2	Gallus gallus (Chicken)	445
R4GKR7	R4GKR7_CHICK	unreviewed	Uncharacterized protein	CPLX2	Gallus gallus (Chicken)	134
Q708D3	Q708D3_CHICK	unreviewed	Bl-Beta II protein (Fragment)	BL-BETA II	Gallus gallus (Chicken)	92
A0A1L1RQB6	A0A1L1RQB6_CHICK	unreviewed	Uncharacterized protein	SERPINB6	Gallus gallus (Chicken)	224
A0A1L1RSR9	A0A1L1RSR9_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	99
A0A1L1RXG8	A0A1L1RXG8_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	125
A0A1L1S0L2	A0A1L1S0L2_CHICK	unreviewed	Alpha-actinin-2	ACTN2	Gallus gallus (Chicken)	363
F1NUV8	F1NUV8_CHICK	unreviewed	Potassium voltage-gated channel subfamily H member 4		Gallus gallus (Chicken)	1184
Q5ZKN8	Q5ZKN8_CHICK	unreviewed	Transaldolase (EC 2.2.1.2)	RCJMB04_9n21	Gallus gallus (Chicken)	337
Q7ZZE7	Q7ZZE7_CHICK	unreviewed	SWS1 cone opsin (Fragment)		Gallus gallus (Chicken)	37
B5LEQ3	B5LEQ3_CHICK	unreviewed	Transcription factor AP-2delta		Gallus gallus (Chicken)	452
R4GIB7	R4GIB7_CHICK	unreviewed	Serum amyloid A like 1		Gallus gallus (Chicken)	286
A0A1L1RS88	A0A1L1RS88_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	186
A0A1L1RJL0	A0A1L1RJL0_CHICK	unreviewed	Uncharacterized protein	THOC3	Gallus gallus (Chicken)	381
F1NJL7	F1NJL7_CHICK	unreviewed	Pancreatic progenitor cell differentiation and proliferation factor	PPDPF	Gallus gallus (Chicken)	113
F1NR99	F1NR99_CHICK	unreviewed	Coproporphyrinogen oxidase	CPOX	Gallus gallus (Chicken)	404
F1NVV0	F1NVV0_CHICK	unreviewed	Uncharacterized protein	PCF11	Gallus gallus (Chicken)	1690
F1NRW9	F1NRW9_CHICK	unreviewed	Adenylate kinase 9	AK9	Gallus gallus (Chicken)	1791
F1NXV6	F1NXV6_CHICK	unreviewed	Coagulation factor II, thrombin	F2	Gallus gallus (Chicken)	644
A0A1D5NVX1	A0A1D5NVX1_CHICK	unreviewed	RNA binding motif single stranded interacting protein 2	RBMS2	Gallus gallus (Chicken)	330
A0A1D5P1G6	A0A1D5P1G6_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	182
A0A1D5P6N5	A0A1D5P6N5_CHICK	unreviewed	Protein tyrosine phosphatase, receptor type D	PTPRD	Gallus gallus (Chicken)	1906
A0A1D5PDY9	A0A1D5PDY9_CHICK	unreviewed	MON2 homolog, regulator of endosome-to-Golgi trafficking	MON2	Gallus gallus (Chicken)	1663
A0A1D5PVA8	A0A1D5PVA8_CHICK	unreviewed	Nuclear factor of activated T-cells 3	NFATC3	Gallus gallus (Chicken)	465
A0A1D5P3K3	A0A1D5P3K3_CHICK	unreviewed	Heterogeneous nuclear ribonucleoprotein A3	HNRNPA3	Gallus gallus (Chicken)	245
A0A1D5PGM8	A0A1D5PGM8_CHICK	unreviewed	UV radiation resistance associated	UVRAG	Gallus gallus (Chicken)	673
E1BQ85	E1BQ85_CHICK	unreviewed	Phospholipid phosphatase 7 (inactive)	PLPP7	Gallus gallus (Chicken)	271
E1BYZ3	E1BYZ3_CHICK	unreviewed	MICAL like 2	MICALL2	Gallus gallus (Chicken)	791
F1NHQ4	F1NHQ4_CHICK	unreviewed	Phosphatidylinositol glycan anchor biosynthesis class A	PIGA	Gallus gallus (Chicken)	477
F1NN76	F1NN76_CHICK	unreviewed	Transporter	SLC6A13	Gallus gallus (Chicken)	603
F1NRM8	F1NRM8_CHICK	unreviewed	Endoplasmic reticulum resident protein 29	ERP29	Gallus gallus (Chicken)	252
A8IG45	A8IG45_CHICK	unreviewed	Tyrosinase (Fragment)	TYR	Gallus gallus (Chicken)	59
Q9YGW4	Q9YGW4_CHICK	unreviewed	CgABP260 actin-binding domain (Fragment)		Gallus gallus (Chicken)	292
R4GFA9	R4GFA9_CHICK	unreviewed	Mediator of RNA polymerase II transcription subunit 18 (Mediator complex subunit 18)	MED18	Gallus gallus (Chicken)	208
Q5ZI15	Q5ZI15_CHICK	unreviewed	Uncharacterized protein	RCJMB04_31h7	Gallus gallus (Chicken)	175
A0A1L1RKB6	A0A1L1RKB6_CHICK	unreviewed	Parvin beta	PARVB	Gallus gallus (Chicken)	232
A0A1L1RY62	A0A1L1RY62_CHICK	unreviewed	Uncharacterized protein	BTLA	Gallus gallus (Chicken)	192
F1CN64	F1CN64_CHICK	unreviewed	MHC class I antigen		Gallus gallus (Chicken)	355
F1N9S0	F1N9S0_CHICK	unreviewed	Uncharacterized protein	CERS1	Gallus gallus (Chicken)	354
F1NNW0	F1NNW0_CHICK	unreviewed	Myomesin 2	MYOM2	Gallus gallus (Chicken)	1450
Q5ZIV4	Q5ZIV4_CHICK	unreviewed	Uncharacterized protein	RCJMB04_23f3	Gallus gallus (Chicken)	198
P79773	P79773_CHICK	unreviewed	Insulin receptor substrate 1	IRS-1	Gallus gallus (Chicken)	1240
E1BSK6	E1BSK6_CHICK	unreviewed	WD repeat domain 53		Gallus gallus (Chicken)	197
R4GMF5	R4GMF5_CHICK	unreviewed	FUN14 domain-containing protein 1	FUNDC1	Gallus gallus (Chicken)	156
A0A1D5P7Q4	A0A1D5P7Q4_CHICK	unreviewed	Coronin	PAM16	Gallus gallus (Chicken)	1047
A0A1D5PWB0	A0A1D5PWB0_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	156
A0A1L1RXI5	A0A1L1RXI5_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	139
A0A1L1RYI8	A0A1L1RYI8_CHICK	unreviewed	Amiloride-sensitive sodium channel subunit alpha	SCNN1A	Gallus gallus (Chicken)	623
F1NUI2	F1NUI2_CHICK	unreviewed	Xin actin binding repeat containing 1	XIRP1	Gallus gallus (Chicken)	2563
E1BSA8	E1BSA8_CHICK	unreviewed	Major facilitator superfamily domain containing 11	MFSD11	Gallus gallus (Chicken)	448
E1BYV5	E1BYV5_CHICK	unreviewed	Solute carrier family 13 member 1	SLC13A1	Gallus gallus (Chicken)	605
E1C5L4	E1C5L4_CHICK	unreviewed	Chromosome 22 open reading frame 23	C1H22ORF23	Gallus gallus (Chicken)	222
E1C4X4	E1C4X4_CHICK	unreviewed	Transcription elongation factor SPT4	SUPT4H1	Gallus gallus (Chicken)	117
F1NHE2	F1NHE2_CHICK	unreviewed	Uncharacterized protein	LOC422179	Gallus gallus (Chicken)	345
F1NW73	F1NW73_CHICK	unreviewed	Uncharacterized protein	ABCA8	Gallus gallus (Chicken)	1628
B2G3E8	B2G3E8_CHICK	unreviewed	B-NK	BNK	Gallus gallus (Chicken)	227
Q90995	Q90995_CHICK	unreviewed	Alternatively spliced tenascin 190, 200 and 230 kd variants		Gallus gallus (Chicken)	1714
F2Z4K4	F2Z4K4_CHICK	unreviewed	60S ribosomal protein L5	LOC107053956	Gallus gallus (Chicken)	297
F1P5N3	F1P5N3_CHICK	unreviewed	Dishevelled segment polarity protein 3	DVL3	Gallus gallus (Chicken)	731
Q804X7	Q804X7_CHICK	unreviewed	Coagulation factor VII (EC 3.4.21.21)	F7	Gallus gallus (Chicken)	425
A0A1D5NZU6	A0A1D5NZU6_CHICK	unreviewed	Lysyl oxidase like 3		Gallus gallus (Chicken)	499
A0A1D5PBE3	A0A1D5PBE3_CHICK	unreviewed	Coenzyme Q10B		Gallus gallus (Chicken)	151
A0A1D5PFH5	A0A1D5PFH5_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	257
A0A1D5PK96	A0A1D5PK96_CHICK	unreviewed	Jumonji domain containing 8	JMJD8	Gallus gallus (Chicken)	261
A0A1D5PQ08	A0A1D5PQ08_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	164
A0A1L1RKX5	A0A1L1RKX5_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	200
A0A1L1RV96	A0A1L1RV96_CHICK	unreviewed	Guanine nucleotide-binding protein G(k) subunit alpha		Gallus gallus (Chicken)	153
A0A1L1RPD1	A0A1L1RPD1_CHICK	unreviewed	Fatty acid amide hydrolase	FAAH	Gallus gallus (Chicken)	259
A0A1L1RRG3	A0A1L1RRG3_CHICK	unreviewed	Ubiquitin-40S ribosomal protein S27a	RPS27A	Gallus gallus (Chicken)	97
H2D5F8	H2D5F8_CHICK	unreviewed	Toll-like receptor 15		Gallus gallus (Chicken)	868
F1NCY6	F1NCY6_CHICK	unreviewed	TNF receptor superfamily member 6b	TNFRSF6B	Gallus gallus (Chicken)	297
F1NGZ7	F1NGZ7_CHICK	unreviewed	Teneurin-2	TENM2	Gallus gallus (Chicken)	2802
F1NWK3	F1NWK3_CHICK	unreviewed	Probable lysosomal cobalamin transporter	LMBRD1	Gallus gallus (Chicken)	539
R4GG47	R4GG47_CHICK	unreviewed	Solute carrier family 35 member F1	SLC35F1	Gallus gallus (Chicken)	416
A0A1D5NZE7	A0A1D5NZE7_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	166
A0A1D5PCX7	A0A1D5PCX7_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	91
A0A1D5PHP8	A0A1D5PHP8_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	468
A0A1D5PNG2	A0A1D5PNG2_CHICK	unreviewed	Nuclear factor of activated T-cells 1	NFATC1	Gallus gallus (Chicken)	890
A0A1D5NXL9	A0A1D5NXL9_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	326
A0A1D5PFN7	A0A1D5PFN7_CHICK	unreviewed	Regulator of G protein signaling 3	RGS3	Gallus gallus (Chicken)	210
A0A1L1RRY4	A0A1L1RRY4_CHICK	unreviewed	Elongation factor 1-alpha	EEF1A1	Gallus gallus (Chicken)	415
Q765Z1	Q765Z1_CHICK	unreviewed	Staufen homolog 2 (Fragment)	STAU2	Gallus gallus (Chicken)	22
Q6UEJ0	Q6UEJ0_CHICK	unreviewed	Glial cells missing	GCM	Gallus gallus (Chicken)	373
Q98TD2	Q98TD2_CHICK	unreviewed	Transcription factor Foxa2	Foxa2	Gallus gallus (Chicken)	444
A0A1D5P423	A0A1D5P423_CHICK	unreviewed	Keratin		Gallus gallus (Chicken)	153
A0A1D5PZ50	A0A1D5PZ50_CHICK	unreviewed	Protocadherin gamma subfamily C, 3	PCDHGC3	Gallus gallus (Chicken)	932
A0A1D5PF82	A0A1D5PF82_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	598
A0A1D5PRR4	A0A1D5PRR4_CHICK	unreviewed	TBC1 domain family member 5	TBC1D5	Gallus gallus (Chicken)	793
Q9PTH0	Q9PTH0_CHICK	unreviewed	Transcription factor Spalt (Fragment)	Spalt	Gallus gallus (Chicken)	136
A0A1L1RK13	A0A1L1RK13_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	120
A0A1L1RST9	A0A1L1RST9_CHICK	unreviewed	Uncharacterized protein	LOC100859518	Gallus gallus (Chicken)	269
E1C372	E1C372_CHICK	unreviewed	DIS3-like exonuclease 2 (EC 3.1.13.-)	dis3l2	Gallus gallus (Chicken)	814
F1NKS7	F1NKS7_CHICK	unreviewed	Alcohol dehydrogenase 6	ADH6	Gallus gallus (Chicken)	376
F1NSW9	F1NSW9_CHICK	unreviewed	Cadherin-19 precursor	CDH19	Gallus gallus (Chicken)	697
A0A1D5NTT6	A0A1D5NTT6_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	284
A0A1D5NYV3	A0A1D5NYV3_CHICK	unreviewed	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease	DIS3	Gallus gallus (Chicken)	888
A0A1D5P2G4	A0A1D5P2G4_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	444
A0A1D5PEH6	A0A1D5PEH6_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	286
A0A1D5PGW9	A0A1D5PGW9_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	250
A0A1D5PNQ8	A0A1D5PNQ8_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	149
A0A1D5PUB9	A0A1D5PUB9_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	65
A0A1D5PZU2	A0A1D5PZU2_CHICK	unreviewed	Family with sequence similarity 212 member A		Gallus gallus (Chicken)	146
E1BSS1	E1BSS1_CHICK	unreviewed	Myozenin 2	MYOZ2	Gallus gallus (Chicken)	221
E1BVF9	E1BVF9_CHICK	unreviewed	Deleted in lymphocytic leukemia, 7	DLEU7	Gallus gallus (Chicken)	230
E1C5I1	E1C5I1_CHICK	unreviewed	Maelstrom spermatogenic transposon silencer	MAEL	Gallus gallus (Chicken)	409
F1NF93	F1NF93_CHICK	unreviewed	N(alpha)-acetyltransferase 30, NatC catalytic subunit	NAA30	Gallus gallus (Chicken)	418
F1NL81	F1NL81_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	228
F6XS45	F6XS45_CHICK	unreviewed	tRNA(His) guanylyltransferase (EC 2.7.7.79) (tRNA-histidine guanylyltransferase)	THG1L	Gallus gallus (Chicken)	294
R4GLH5	R4GLH5_CHICK	unreviewed	Dynein axonemal light chain 1	DNAL1	Gallus gallus (Chicken)	197
Q5ZHK5	Q5ZHK5_CHICK	unreviewed	Uncharacterized protein (Fragment)	RCJMB04_37h20	Gallus gallus (Chicken)	143
Q5ZJ92	Q5ZJ92_CHICK	unreviewed	Uncharacterized protein	RCJMB04_19o9	Gallus gallus (Chicken)	207
Q5ZMU1	Q5ZMU1_CHICK	unreviewed	Uncharacterized protein	RCJMB04_1c19	Gallus gallus (Chicken)	454
Q9BD54	Q9BD54_CHICK	unreviewed	MHC class II-associated invariant chain (Fragment)	CD74	Gallus gallus (Chicken)	288
R4GIZ1	R4GIZ1_CHICK	unreviewed	Hydroxysteroid 11-beta dehydrogenase 2	HSD11B2L	Gallus gallus (Chicken)	386
C4PCL8	C4PCL8_CHICK	unreviewed	TLR5		Gallus gallus (Chicken)	861
A0A1L1RXY6	A0A1L1RXY6_CHICK	unreviewed	ATPase 13A1	ATP13A1	Gallus gallus (Chicken)	467
A0A1L1RJ69	A0A1L1RJ69_CHICK	unreviewed	Heparan sulfate proteoglycan 2	Gga.7471	Gallus gallus (Chicken)	3991
A0A1D5NZS3	A0A1D5NZS3_CHICK	unreviewed	NADH:ubiquinone oxidoreductase core subunit S7	NDUFS7	Gallus gallus (Chicken)	132
A0A1D5PUU0	A0A1D5PUU0_CHICK	unreviewed	MER proto-oncogene, tyrosine kinase	MERTK	Gallus gallus (Chicken)	802
F1P492	F1P492_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	555
E1BVC4	E1BVC4_CHICK	unreviewed	Uncharacterized protein	SEC13	Gallus gallus (Chicken)	320
E1C4U5	E1C4U5_CHICK	unreviewed	DEAH-box helicase 35	DHX35	Gallus gallus (Chicken)	703
F1P3X5	F1P3X5_CHICK	unreviewed	tRNA pseudouridine synthase (EC 5.4.99.-)	PUS3	Gallus gallus (Chicken)	459
Q5F4C6	Q5F4C6_CHICK	unreviewed	Uncharacterized protein	RCJMB04_1b10	Gallus gallus (Chicken)	974
F1P1A5	F1P1A5_CHICK	unreviewed	Transketolase	TKT	Gallus gallus (Chicken)	627
Q2EJ72	Q2EJ72_CHICK	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	ERBB2	Gallus gallus (Chicken)	1235
E1BVT6	E1BVT6_CHICK	unreviewed	Zinc finger protein 512	ZNF512	Gallus gallus (Chicken)	563
E1C195	E1C195_CHICK	unreviewed	Transmembrane protein 117		Gallus gallus (Chicken)	367
E1C5P2	E1C5P2_CHICK	unreviewed	Uncharacterized protein	Gga.54066	Gallus gallus (Chicken)	1438
A0A1L1RJ64	A0A1L1RJ64_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	141
A0A1L1RM10	A0A1L1RM10_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	179
A0A1L1RS57	A0A1L1RS57_CHICK	unreviewed	Uncharacterized protein		Gallus gallus (Chicken)	67
A0A1L1RYQ6	A0A1L1RYQ6_CHICK	unreviewed	Transcriptional adaptor 1	TADA1	Gallus gallus (Chicken)	313
A0A1L1RNE9	A0A1L1RNE9_CHICK	unreviewed	ST3 beta-galactoside alpha-2,3-sialyltransferase 2	ST3GAL2	Gallus gallus (Chicken)	349
Q5ZM75	Q5ZM75_CHICK	unreviewed	Uncharacterized protein	RCJMB04_2o24	Gallus gallus (Chicken)	514
Q9DDJ7	Q9DDJ7_CHICK	unreviewed	Retinoblastoma tumor suppressor (Fragment)		Gallus gallus (Chicken)	115
R4GHA5	R4GHA5_CHICK	unreviewed	Saccharopine dehydrogenase (putative)	SCCPDH	Gallus gallus (Chicken)	432
Q8QGU9	Q8QGU9_CHICK	unreviewed	Semaphorin 3F	Sema3F	Gallus gallus (Chicken)	756
A0A1D5P1D5	A0A1D5P1D5_CHICK	unreviewed	Ubiquitination factor E4B	UBE4B	Gallus gallus (Chicken)	1173
A0A1D5P638	A0A1D5P638_CHICK	unreviewed	Uncharacterized protein	FAM96A	Gallus gallus (Chicken)	129
A0A1D5P7F7	A0A1D5P7F7_CHICK	unreviewed	Uncharacterized protein	TLR21	Gallus gallus (Chicken)	972
